Station,Elevation
107.0,293.3
107.5,293.3
108.0,293.3
108.5,293.3
109.0,293.3
109.5,293.3
110.0,293.3
110.5,293.3
111.0,293.3
111.5,293.3
112.0,293.3
112.5,293.3
113.0,293.3
113.5,293.3
114.0,293.3
114.5,293.3
115.0,293.3
115.5,293.3
116.0,293.3
116.5,293.3
117.0,293.3
117.5,293.3
118.0,293.3
118.5,293.3
119.0,293.3
119.5,293.3
120.0,293.3
120.5,293.31
121.0,293.33
121.5,293.34
122.0,293.35
122.5,293.37
123.0,293.37
123.5,293.38
124.0,293.39
124.5,293.4
125.0,293.41
125.5,293.42
126.0,293.43
126.5,293.44
127.0,293.45
127.5,293.46
128.0,293.47
128.5,293.48
129.0,293.49
129.5,293.5
130.0,293.5
130.5,293.51
131.0,293.52
131.5,293.53
132.0,293.54
132.5,293.54
133.0,293.54
133.5,293.54
134.0,293.54
134.5,293.54
135.0,293.55
135.5,293.56
136.0,293.57
136.5,293.58
137.0,293.58
137.5,293.59
138.0,293.59
138.5,293.6
139.0,293.6
139.5,293.61
140.0,293.61
140.5,293.62
141.0,293.62
141.5,293.63
142.0,293.63
142.5,293.64
143.0,293.64
143.5,293.65
144.0,293.65
144.5,293.66
145.0,293.66
145.5,293.67
146.0,293.67
146.5,293.68
147.0,293.68
147.5,293.69
148.0,293.7
148.5,293.71
149.0,293.72
149.5,293.73
150.0,293.73
150.5,293.74
151.0,293.75
151.5,293.76
152.0,293.77
152.5,293.78
153.0,293.79
153.5,293.79
154.0,293.8
154.5,293.81
155.0,293.81
155.5,293.82
156.0,293.83
156.5,293.83
157.0,293.84
157.5,293.85
158.0,293.85
158.5,293.86
159.0,293.87
159.5,293.87
160.0,293.88
160.5,293.88
161.0,293.89
161.5,293.89
162.0,293.9
162.5,293.9
163.0,293.9
163.5,293.9
164.0,293.91
164.5,293.91
165.0,293.9
165.5,293.89
166.0,293.88
166.5,293.87
167.0,293.86
167.5,293.85
168.0,293.84
168.5,293.82
169.0,293.79
169.5,293.75
170.0,293.72
170.5,293.68
171.0,293.65
171.5,293.62
172.0,293.58
172.5,293.55
173.0,293.52
173.5,293.5
174.0,293.48
174.5,293.45
175.0,293.43
175.5,293.41
